C1,C2,C3,C4
0.1,0.2758030295372009,-5.342525923879293e-07,0.27594369649887085
0.2,0.27684587240219116,5.321853677742183e-05,0.2768371105194092
0.30000000000000004,0.27786126732826233,7.761675078654662e-05,0.2777531147003174
0.4,0.27887648344039917,7.242648280225694e-05,0.2785826027393341
0.5,0.2798998951911926,0.00012132925621699542,0.2797650098800659
0.6,0.28086918592453003,0.00010291113721905276,0.28101015090942383
0.7,0.28190797567367554,0.00014034310879651457,0.2820553183555603
0.7999999999999999,0.2828880250453949,0.00011811069998657331,0.28300753235816956
0.8999999999999999,0.28385573625564575,0.00013390650565270334,0.2842027246952057
0.9999999999999999,0.2848740518093109,0.00013626768486574292,0.2849996089935303
1.0999999999999999,0.2858329713344574,8.022255497053266e-05,0.2860555052757263
1.2,0.28686732053756714,0.00015123224875424057,0.286939799785614
1.3,0.2879025638103485,0.00016685592709109187,0.2877350151538849
1.4000000000000001,0.28885170817375183,0.00022552756126970053,0.2883358597755432
1.5000000000000002,0.28988027572631836,0.00019496401364449412,0.2894608676433563
1.6000000000000003,0.29088160395622253,0.00013739980931859463,0.29114335775375366
1.7000000000000004,0.2918781340122223,0.0001265786268049851,0.29188072681427
1.8000000000000005,0.2928338944911957,0.00024713948369026184,0.2928665578365326
1.9000000000000006,0.2938978672027588,0.00017474933702033013,0.2940526604652405
2.0000000000000004,0.2948332130908966,0.0002435100032016635,0.2949238717556
2.1000000000000005,0.2958807051181793,0.00024050114734563977,0.29608792066574097
2.2000000000000006,0.2968810796737671,0.0002391755406279117,0.2967727780342102
2.3000000000000007,0.29785388708114624,0.0002879909297917038,0.2977820336818695
2.400000000000001,0.2988748550415039,0.0002714590809773654,0.2987395226955414
2.500000000000001,0.2998434007167816,0.00026804464869201183,0.30004867911338806
2.600000000000001,0.30087560415267944,0.00026287592481821775,0.3012215793132782
2.700000000000001,0.30188724398612976,0.0002334456512471661,0.30195626616477966
2.800000000000001,0.302876353263855,0.00027683423832058907,0.30320748686790466
2.9000000000000012,0.3038822412490845,0.00027895165840163827,0.30409330129623413
3.0000000000000013,0.30484309792518616,0.000264910253463313,0.30515602231025696
3.1000000000000014,0.3058009147644043,0.00025507755344733596,0.3058370351791382
3.2000000000000015,0.30684396624565125,0.00032041201484389603,0.30661457777023315
3.3000000000000016,0.3078073561191559,0.00029481278033927083,0.3075238764286041
3.4000000000000017,0.3088225722312927,0.00032801114139147103,0.30867958068847656
3.5000000000000018,0.3098372519016266,0.000307349517242983,0.310122013092041
3.600000000000002,0.31080713868141174,0.0002662468468770385,0.3109833300113678
3.700000000000002,0.3118012547492981,0.00032842313521541655,0.3121303617954254
3.800000000000002,0.3128175437450409,0.0003377558314241469,0.3131501078605652
3.900000000000002,0.3138640224933624,0.00033644429640844464,0.3140391707420349
4.000000000000002,0.31484633684158325,0.0003217045741621405,0.31508737802505493
4.100000000000001,0.31582292914390564,0.000408794148825109,0.31572937965393066
4.200000000000001,0.31681326031684875,0.0003261415986344218,0.3166017532348633
4.300000000000001,0.31779807806015015,0.000448137114290148,0.3175649344921112
4.4,0.3188443183898926,0.00036032460047863424,0.31880342960357666
4.5,0.3198049068450928,0.0004329608927946538,0.32004767656326294
4.6,0.32083719968795776,0.00040492365951649845,0.3209179639816284
4.699999999999999,0.3218402862548828,0.000330507435137406,0.3220375180244446
4.799999999999999,0.32281872630119324,0.0003620956849772483,0.32304099202156067
4.899999999999999,0.3238407373428345,0.00036662555066868663,0.323940634727478
4.999999999999998,0.32482200860977173,0.00043931009713560343,0.3247964382171631
5.099999999999998,0.3258437514305115,0.0005012985784560442,0.3256836235523224
5.1999999999999975,0.3267914354801178,0.00048172654351219535,0.3265256881713867
5.299999999999997,0.327793687582016,0.00047903525410220027,0.32755956053733826
5.399999999999997,0.32880884408950806,0.0004703137092292309,0.3288974463939667
5.4999999999999964,0.3298420310020447,0.000508550030644983,0.3303689956665039
5.599999999999996,0.3308250904083252,0.0005246533546596766,0.33112281560897827
5.699999999999996,0.33181947469711304,0.0005379682988859713,0.33212941884994507
5.799999999999995,0.33278149366378784,0.0005232594558037817,0.33304697275161743
5.899999999999995,0.33382704854011536,0.0005412434693425894,0.33392804861068726
5.999999999999995,0.33481526374816895,0.0005640342133119702,0.3347734212875366
6.099999999999994,0.33584949374198914,0.0006281274254433811,0.3356460928916931
6.199999999999994,0.3368263840675354,0.0006240090588107705,0.3367201089859009
6.299999999999994,0.33782947063446045,0.0006255666958168149,0.33779585361480713
6.399999999999993,0.3388092815876007,0.0006340894615277648,0.33895841240882874
6.499999999999993,0.3398452401161194,0.0006222597439773381,0.33997446298599243
6.5999999999999925,0.3408438563346863,0.0006335366633720696,0.3408277630805969
6.699999999999992,0.34187084436416626,0.000620706588961184,0.3419255018234253
6.799999999999992,0.34281978011131287,0.000632020179182291,0.3428262770175934
6.8999999999999915,0.34385040402412415,0.0006800057599321008,0.34369325637817383
6.999999999999991,0.34480664134025574,0.0006555452710017562,0.34440577030181885
7.099999999999991,0.34586071968078613,0.0006825911696068943,0.34515154361724854
7.19999999999999,0.3468339145183563,0.0006808433099649847,0.3463708162307739
7.29999999999999,0.3478308320045471,0.0006902979803271592,0.34765195846557617
7.39999999999999,0.3488588333129883,0.000681672478094697,0.3489527702331543
7.499999999999989,0.34985244274139404,0.0007217978127300739,0.34989726543426514
7.599999999999989,0.35085365176200867,0.0007209594477899373,0.3509107232093811
7.699999999999989,0.3518778383731842,0.0007206511800177395,0.35214361548423767
7.799999999999988,0.352844774723053,0.0007298851269297302,0.3528386950492859
